Type	Complement Status	Start	End	Gene/Locus Tag	Strand Present?	Position(s)	Position(s) 2	Position(s) 3	Position(s) 4	Position(s) 5	Position(s) 6	Position(s) 7	Position(s) 8	Position(s) 9	
CDS	Not Complement	70830	71030	SPNHU17_RS00420	Yes	70847	70980								
CDS	Not Complement	71748	71948	blpU	Yes	71783	71816	71867							
CDS	Not Complement	72514	72714	SPNHU17_RS10815	Yes	72691	72699	72709							
CDS	Not Complement	72729	72929	SPNHU17_RS00430	Yes	72822	72893	72899							
CDS	Not Complement	74165	74365	SPNHU17_RS00435	Yes	74221									
CDS	Not Complement	74468	74668	SPNHU17_RS00440	Yes	74628	74634								
CDS	Not Complement	75601	75801	SPNHU17_RS00445	Yes	75699									
CDS	Not Complement	76080	76280	SPNHU17_RS00450	Yes	76113									
CDS	Not Complement	76657	76857	SPNHU17_RS00455	Yes	76762	76766								
CDS	Not Complement	77528	77728	comA	Yes	77570	77716								
CDS	Not Complement	79694	79894	comB	Yes	79826	79884								
CDS	Not Complement	81213	81413	SPNHU17_RS00470	Yes	81286	81323	81399							
CDS	Not Complement	82122	82322	SPNHU17_RS00475	Yes	82137	82173	82233	82245	82304					
CDS	Not Complement	85564	85764	SPNHU17_RS00480											
CDS	Not Complement	86061	86261	purF	Yes	86164	86246								
CDS	Not Complement	87540	87740	purM	Yes	87581	87683	87727	87733						
CDS	Not Complement	88559	88759	purN	Yes	88589	88616	88625	88670	88715	88735	88739	88745		
CDS	Not Complement	89188	89388	SPNHU17_RS00500											
CDS	Not Complement	89722	89922	purH	Yes	89818									
CDS	Not Complement	91391	91591	purD	Yes	91488	91528								
CDS	Not Complement	92910	93110	SPNHU17_RS10820	Yes	92945	92980	93030							
CDS	Not Complement	93056	93256	purE	Yes	93115	93150	93235	93244						
CDS	Not Complement	93531	93731	purK	Yes	93710									
CDS	Not Complement	94632	94832	SPNHU17_RS00525	Yes	94679	94694								
CDS	Not Complement	94922	95122	purB	Yes	94964	95043	95062	95107	95112					
CDS	Complement	100413	100613	strH	Yes	100574									
CDS	Complement	101444	101644	SPNHU17_RS00540	Yes	101476	101496	101541	101635						
CDS	Not Complement	101592	101792	SPNHU17_RS00545	Yes	101656	101760								
CDS	Not Complement	103376	103576	SPNHU17_RS00550	Yes	103502	103571								
CDS	Not Complement	103880	104080	SPNHU17_RS00555	Yes	103912	103981	104056							
CDS	Not Complement	104772	104972	SPNHU17_RS00560	Yes	104956	104965								
CDS	Not Complement	105594	105794	SPNHU17_RS00565	Yes	105605									
CDS	Not Complement	106251	106451	SPNHU17_RS00570	Yes	106368	106438								
CDS	Not Complement	107533	107733	SPNHU17_RS00575	Yes	107537	107714								
CDS	Not Complement	108777	108977	SPNHU17_RS00580	Yes	108827	108856	108881	108925	108964					
CDS	Not Complement	109781	109981	SPNHU17_RS00585	Yes	109784	109960	109975							
CDS	Complement	110642	110842	SPNHU17_RS10825	Yes	110669	110770								
CDS	Complement	110929	111129	SPNHU17_RS00595											
CDS	Complement	111164	111364	SPNHU17_RS00600	Yes	111224									
CDS	Not Complement	111013	111213	SPNHU17_RS00605											
CDS	Not Complement	112342	112542	SPNHU17_RS00610	Yes	112346	112359	112540							
CDS	Not Complement	113735	113935	SPNHU17_RS00615	Yes	113783	113874	113879	113900	113925	113930				
CDS	Not Complement	114710	114910	SPNHU17_RS00620	Yes	114740	114761	114883							
CDS	Not Complement	115316	115516	SPNHU17_RS00625	Yes	115373									
CDS	Not Complement	115842	116042	pavB	Yes	115957	116023								
CDS	Not Complement	117329	117529	SPNHU17_RS00635											
CDS	Not Complement	117900	118100	SPNHU17_RS00640											
CDS	Not Complement	118400	118600	SPNHU17_RS00645	Yes	118412	118428	118446							
CDS	Not Complement	119095	119295	SPNHU17_RS00650	Yes	119137	119148	119280							
CDS	Not Complement	120342	120542	rpsD	Yes	120397	120410	120514							
CDS	Not Complement	121992	122192	SPNHU17_RS00660	Yes	122177									
CDS	Not Complement	122206	122406	SPNHU17_RS00665	Yes	122254	122348	122393							
CDS	Not Complement	122746	122946	SPNHU17_RS00670	Yes	122943									
CDS	Not Complement	123689	123889	SPNHU17_RS00675	Yes	123878									
CDS	Not Complement	124870	125070	SPNHU17_RS00680	Yes	124878									
CDS	Not Complement	126617	126817	SPNHU17_RS00685	Yes	126696	126787	126802							
CDS	Not Complement	127725	127925	SPNHU17_RS00690	Yes	127777	127881								
CDS	Complement	129987	130187	SPNHU17_RS00695											
CDS	Complement	130961	131161	SPNHU17_RS00700	Yes	131045	131140								
CDS	Complement	131547	131747	SPNHU17_RS00705	Yes	131698									
CDS	Complement	131860	132060	SPNHU17_RS00710	Yes	131866	131935	131951							
CDS	Complement	133165	133365	SPNHU17_RS00715	Yes	133264	133273	133298	133334						
CDS	Not Complement	133023	133223	SPNHU17_RS00720											
CDS	Not Complement	134222	134422	SPNHU17_RS00725											
CDS	Complement	137165	137365	SPNHU17_RS00730	Yes	137199	137264								
CDS	Complement	138059	138259	sdaAA	Yes	138080	138228								
CDS	Complement	138739	138939	sdaAB	Yes	138813	138882	138926							
CDS	Not Complement	138781	138981	SPNHU17_RS00745	Yes	138962									
CDS	Complement	140483	140683	SPNHU17_RS00750	Yes	140504	140572	140634	140645						
CDS	Not Complement	140606	140806	SPNHU17_RS00755											
CDS	Not Complement	142094	142294	SPNHU17_RS00760	Yes	142167	142261	142275							
CDS	Not Complement	142397	142597	SPNHU17_RS00765	Yes	142445									
CDS	Not Complement	144502	144702	SPNHU17_RS00770	Yes	144666	144690								
CDS	Not Complement	145350	145550	SPNHU17_RS00775	Yes	145393	145463								
CDS	Not Complement	146173	146373	SPNHU17_RS00780	Yes	146207	146242	146263	146351	146359	146367				
CDS	Not Complement	147398	147598	argH	Yes	147428	147453								
CDS	Complement	149598	149798	SPNHU17_RS00790	Yes	149783									
CDS	Not Complement	150156	150356	SPNHU17_RS00795	Yes	150317	150351								
CDS	Not Complement	150535	150735	SPNHU17_RS00800	Yes	150600									
CDS	Not Complement	151552	151752	SPNHU17_RS00805	Yes	151567									
CDS	Not Complement	152925	153125	SPNHU17_RS00810	Yes	153001	153022	153115							
CDS	Not Complement	154374	154574	SPNHU17_RS00815	Yes	154384	154476	154536	154569						
CDS	Not Complement	154755	154955	SPNHU17_RS10830											
CDS	Not Complement	154956	155156	SPNHU17_RS00820	Yes	154973	155054	155133							
CDS	Not Complement	155914	156114	SPNHU17_RS00825	Yes	156019	156028	156086	156109						
CDS	Not Complement	156264	156464	SPNHU17_RS00830											
CDS	Not Complement	157478	157678	SPNHU17_RS10835	Yes	157554	157676								
CDS	Not Complement	158128	158328	SPNHU17_RS00835	Yes	158312									
CDS	Not Complement	158919	159119	SPNHU17_RS00840	Yes	158958	159011	159104							
CDS	Not Complement	160813	161013	SPNHU17_RS00845											
CDS	Not Complement	161402	161602	mnmA											
CDS	Not Complement	162664	162864	SPNHU17_RS00855	Yes	162769	162855								
CDS	Not Complement	163129	163329	mnmG	Yes	163196	163327								
CDS	Complement	167802	168002	SPNHU17_RS00865											
CDS	Complement	168037	168237	SPNHU17_RS00870	Yes	168166	168185	168192							
CDS	Not Complement	168117	168317	SPNHU17_RS00875	Yes	168237	168265								
CDS	Complement	169007	169207	cibB											
CDS	Complement	169194	169394	cibA	Yes	169237	169242	169248	169311	169377					
CDS	Not Complement	169172	169372	tsaB											
CDS	Not Complement	169852	170052	rimI	Yes	169897	170002								
CDS	Not Complement	170279	170479	tsaD	Yes	170343	170396	170400	170425	170475					
CDS	Complement	172835	173035	SPNHU17_RS00905	Yes	172907	172948								
CDS	Complement	173862	174062	SPNHU17_RS10840	Yes	173905	173998								
CDS	Not Complement	173905	174105	SPNHU17_RS00920											
CDS	Not Complement	175103	175303	SPNHU17_RS00925	Yes	175196	175231	175263							
CDS	Not Complement	176066	176266	SPNHU17_RS00930	Yes	176067	176152	176181	176252	176260					
CDS	Not Complement	178146	178346	SPNHU17_RS00935	Yes	178160									
CDS	Not Complement	178383	178583	SPNHU17_RS00940	Yes	178448	178459	178487							
CDS	Not Complement	179144	179344	SPNHU17_RS00945	Yes	179180	179244	179254	179328						
CDS	Not Complement	180711	180911	SPNHU17_RS00950											
CDS	Not Complement	181865	182065	SPNHU17_RS00955	Yes	181891	181923	181936							
CDS	Not Complement	182130	182330	SPNHU17_RS00960	Yes	182217	182324								
CDS	Not Complement	182867	183067	SPNHU17_RS00965	Yes	183035									
CDS	Not Complement	184826	185026	SPNHU17_RS00970	Yes	184985	184992	184996							
CDS	Not Complement	185472	185672	SPNHU17_RS00975											
CDS	Not Complement	185899	186099	SPNHU17_RS00980	Yes	186094									
CDS	Not Complement	186883	187083	SPNHU17_RS00985	Yes	186939	187030	187077							
CDS	Not Complement	187837	188037	SPNHU17_RS00990	Yes	187856	187889	187944	188024						
CDS	Not Complement	189203	189403	SPNHU17_RS00995	Yes	189310	189342								
CDS	Not Complement	190266	190466	SPNHU17_RS01000	Yes	190336	190387								
CDS	Complement	191757	191957	SPNHU17_RS01005	Yes	191841	191851								
CDS	Not Complement	191692	191892	SPNHU17_RS01010											
CDS	Not Complement	192308	192508	SPNHU17_RS01015	Yes	192477	192489								
CDS	Not Complement	193966	194166	SPNHU17_RS01020	Yes	193978	193992	194157	194165						
CDS	Not Complement	195304	195504	SPNHU17_RS01025	Yes	195397	195409	195430	195441						
CDS	Not Complement	195915	196115	nrdI	Yes	195998	196020								
CDS	Complement	198237	198437	SPNHU17_RS01035	Yes	198291	198329	198336							
CDS	Complement	199848	200048	SPNHU17_RS01040	Yes	199920	199940	199951	199964	199972	199999	200039			
CDS	Complement	200616	200816	SPNHU17_RS01045	Yes	200688	200761								
CDS	Complement	201053	201253	SPNHU17_RS01050											
CDS	Not Complement	201209	201409	mutL	Yes	201350	201384	201397	201407						
CDS	Complement	204150	204350	ribE	Yes	204257									
CDS	Complement	205356	205556	SPNHU17_RS01065	Yes	205548									
CDS	Complement	206011	206211	ribE	Yes	206060	206102	206124							
CDS	Complement	207096	207296	ribD	Yes	207156	207186								
regulatory	Complement	207344	207544	riboswitch	Yes	207458	207482								
CDS	Not Complement	207301	207501	ruvA											
CDS	Not Complement	207904	208104	SPNHU17_RS01085	Yes	207948	208016	208025							
CDS	Not Complement	208464	208664	SPNHU17_RS01090	Yes	208478	208541	208655							
CDS	Complement	210509	210709	SPNHU17_RS01095	Yes	210527	210564	210607							
CDS	Complement	211447	211647	SPNHU17_RS01100	Yes	211598									
CDS	Complement	212403	212603	SPNHU17_RS01105	Yes	212527									
CDS	Complement	213730	213930	SPNHU17_RS01110	Yes	213877									
CDS	Complement	215329	215529	SPNHU17_RS01115	Yes	215375	215425								
CDS	Complement	216203	216403	SPNHU17_RS01120	Yes	216268	216309	216341							
CDS	Not Complement	216156	216356	SPNHU17_RS01125											
CDS	Not Complement	216401	216601	SPNHU17_RS01130	Yes	216461	216555	216580	216589						
CDS	Not Complement	217399	217599	SPNHU17_RS01135	Yes	217462	217476	217584							
CDS	Not Complement	217848	218048	SPNHU17_RS01140	Yes	217935									
CDS	Not Complement	218050	218250	SPNHU17_RS01145	Yes	218105	218114	218160	218200	218207					
CDS	Not Complement	218262	218462	SPNHU17_RS01150	Yes	218367	218385								
CDS	Not Complement	218596	218796	SPNHU17_RS01155	Yes	218728	218774								
CDS	Not Complement	219012	219212	SPNHU17_RS01160	Yes	219017	219063	219189							
CDS	Not Complement	219931	220131	SPNHU17_RS01165	Yes	220068	220119								
CDS	Not Complement	221763	221963	SPNHU17_RS01170	Yes	221777	221845	221914	221920	221952					
CDS	Not Complement	222014	222214	SPNHU17_RS01175	Yes	222019	222200	222207							
CDS	Not Complement	222615	222815	SPNHU17_RS01180	Yes	222652	222667	222812							
CDS	Not Complement	224331	224531	SPNHU17_RS01185	Yes	224336	224372	224452	224458						
CDS	Not Complement	225239	225439	uvrA	Yes	225331	225430								
CDS	Not Complement	228063	228263	SPNHU17_RS01195	Yes	228249	228254								
CDS	Not Complement	229256	229456	spx	Yes	229339	229350	229359	229444						
CDS	Not Complement	229720	229920	SPNHU17_RS01205	Yes	229750	229822	229909	229916						
CDS	Not Complement	230376	230576	SPNHU17_RS01210	Yes	230421	230432	230492	230563						
CDS	Not Complement	230646	230846	ruvX	Yes	230760	230789								
CDS	Not Complement	231081	231281	SPNHU17_RS01220	Yes	231205	231258								
CDS	Not Complement	231799	231999	SPNHU17_RS01225	Yes	231829	231925								
CDS	Not Complement	233133	233333	SPNHU17_RS01230	Yes	233154	233297	233321	233326						
CDS	Not Complement	233734	233934	cls	Yes	233805	233843								
CDS	Not Complement	235344	235544	SPNHU17_RS01240	Yes	235363	235437	235470	235525	235529					
CDS	Not Complement	235524	235724	SPNHU17_RS01245	Yes	235613	235619	235630	235719						
CDS	Not Complement	237182	237382	nrdD	Yes	237191	237206	237356	237370						
CDS	Not Complement	239401	239601	SPNHU17_RS01255	Yes	239521	239592	239596							
CDS	Not Complement	239585	239785	SPNHU17_RS01260	Yes	239601	239609	239660	239687	239735					
CDS	Not Complement	240084	240284	nrdG	Yes	240097	240154	240168							
CDS	Not Complement	240671	240871	SPNHU17_RS01270	Yes	240738	240843	240848							
CDS	Not Complement	241555	241755	rpsJ	Yes	241572	241743	241751							
CDS	Not Complement	242080	242280	rplC	Yes	242131	242264								
CDS	Not Complement	242731	242931	rplD	Yes	242820	242864	242914	242921						
CDS	Not Complement	243354	243554	SPNHU17_RS01290	Yes	243409	243452								
CDS	Not Complement	243668	243868	rplB	Yes	243863									
CDS	Not Complement	244605	244805	rpsS	Yes	244656	244662	244698	244796						
CDS	Not Complement	244898	245098	rplV	Yes	245071	245082								
CDS	Not Complement	245255	245455	rpsC	Yes	245256	245287	245358	245379	245437					
CDS	Not Complement	245912	246112	rplP											
CDS	Not Complement	246335	246535	rpmC	Yes	246427									
CDS	Not Complement	246566	246766	rpsQ	Yes	246610	246621	246687	246738	246760					
CDS	Not Complement	246852	247052	rplN	Yes	246916	246958	247038	247045						
CDS	Not Complement	247298	247498	rplX	Yes	247480	247493								
CDS	Not Complement	247627	247827	rplE	Yes	247674	247815								
CDS	Not Complement	248187	248387	rpsN	Yes	248228	248250								
CDS	Not Complement	248741	248941	rpsH	Yes	248934									
CDS	Not Complement	249331	249531	rplF	Yes	249488	249524								
CDS	Not Complement	249951	250151	rplR	Yes	250147									
CDS	Not Complement	250325	250525	rpsE	Yes	250465	250490	250501	250524						
CDS	Not Complement	250833	251033	rpmD	Yes	250956	250965	250978	251023						
CDS	Not Complement	251160	251360	rplO	Yes	251353									
CDS	Not Complement	251613	251813	secY	Yes	251675	251719	251731							
CDS	Not Complement	253056	253256	SPNHU17_RS01385	Yes	253069	253211								
CDS	Not Complement	253811	254011	infA	Yes	253871	253891	253991							
CDS	Not Complement	254054	254254	rpmJ	Yes	254092	254179	254235							
CDS	Not Complement	254188	254388	rpsM	Yes	254254	254259	254378	254385						
CDS	Not Complement	254571	254771	rpsK	Yes	254634	254747								
CDS	Not Complement	254997	255197	SPNHU17_RS01410											
CDS	Not Complement	255944	256144	rplQ	Yes	256028	256051	256059	256090						
CDS	Not Complement	256595	256795	SPNHU17_RS01420	Yes	256662	256740								
CDS	Not Complement	256871	257071	SPNHU17_RS01425	Yes	256951									
CDS	Not Complement	258475	258675	SPNHU17_RS01430	Yes	258494	258674								
CDS	Complement	261122	261322	SPNHU17_RS01435	Yes	261164	261283								
CDS	Complement	262203	262403	SPNHU17_RS01440											
CDS	Complement	263337	263537	SPNHU17_RS01445											
CDS	Complement	263751	263951	SPNHU17_RS01450											
CDS	Complement	264029	264229	SPNHU17_RS01455	Yes	264049	264087								
CDS	Complement	264305	264505	SPNHU17_RS01460	Yes	264382	264387								
CDS	Complement	264692	264892	SPNHU17_RS01465											
CDS	Complement	265801	266001	SPNHU17_RS01470	Yes	265846	265850	265867	265928	265968	265995				
CDS	Not Complement	265723	265923	SPNHU17_RS01475											
CDS	Not Complement	266482	266682	SPNHU17_RS01480	Yes	266604	266637								
CDS	Not Complement	267657	267857	SPNHU17_RS01485	Yes	267664	267801	267822	267843						
CDS	Not Complement	268023	268223	SPNHU17_RS01490	Yes	268070	268142	268158	268217						
CDS	Not Complement	268348	268548	SPNHU17_RS01495	Yes	268424	268492	268535							
CDS	Not Complement	269797	269997	SPNHU17_RS01500	Yes	269832	269928	269961	269965	269982	269986				
CDS	Not Complement	272254	272454	SPNHU17_RS01505	Yes	272318	272328								
CDS	Not Complement	272940	273140	SPNHU17_RS01510	Yes	273134									
CDS	Not Complement	274483	274683	leuS											
CDS	Not Complement	277123	277323	SPNHU17_RS01520	Yes	277131	277139	277266							
CDS	Not Complement	278021	278221	SPNHU17_RS01525	Yes	278077	278094	278121	278136	278154	278200	278207	278217		
CDS	Not Complement	278728	278928	SPNHU17_RS01530	Yes	278851	278869								
CDS	Complement	280251	280451	SPNHU17_RS01535											
CDS	Not Complement	280212	280412	ruvB											
CDS	Not Complement	281164	281364	SPNHU17_RS01545											
CDS	Not Complement	281967	282167	SPNHU17_RS01550	Yes	282069	282114	282123	282138						
CDS	Not Complement	282734	282934	SPNHU17_RS01555	Yes	282932									
CDS	Not Complement	283559	283759	rseP	Yes	283609	283650	283754							
CDS	Not Complement	284831	285031	SPNHU17_RS01565	Yes	284916	284923	284929							
CDS	Not Complement	286783	286983	bglA	Yes	286858	286867	286881	286903	286913	286959				
CDS	Not Complement	288354	288554	glmS	Yes	288456	288460	288526							
CDS	Not Complement	290433	290633	SPNHU17_RS01580	Yes	290445									
CDS	Complement	295645	295845	spuA	Yes	295727	295731								
CDS	Not Complement	295862	296062	rpsL	Yes	295889	295913								
CDS	Not Complement	296295	296495	rpsG	Yes	296480									
CDS	Not Complement	297190	297390	fusA	Yes	297279	297296	297361	297381						
CDS	Not Complement	299375	299575	SPNHU17_RS01605	Yes	299442	299453	299525	299570						
CDS	Not Complement	303868	304068	SPNHU17_RS01610	Yes	303892	303904	303920	304055						
CDS	Not Complement	304124	304324	SPNHU17_RS01615	Yes	304230									
CDS	Not Complement	304423	304623	SPNHU17_RS01620	Yes	304435									
CDS	Not Complement	304597	304797	SPNHU17_RS01625	Yes	304628	304766	304770	304784	304791					
CDS	Complement	307072	307272	SPNHU17_RS01630											
CDS	Not Complement	306987	307187	SPNHU17_RS01635											
CDS	Not Complement	307821	308021	pepC	Yes	307886	307927	307983							
CDS	Complement	310322	310522	SPNHU17_RS01645	Yes	310425	310508								
CDS	Complement	311149	311349	SPNHU17_RS01650											
CDS	Complement	312166	312366	SPNHU17_RS01655	Yes	312209									
CDS	Complement	313418	313618	adhP	Yes	313538	313604								
CDS	Complement	314570	314770	SPNHU17_RS01665	Yes	314622	314633	314658	314699						
CDS	Not Complement	314560	314760	SPNHU17_RS01670											
CDS	Not Complement	316031	316231	SPNHU17_RS01675											
CDS	Not Complement	316983	317183	folP	Yes	317126	317178								
CDS	Not Complement	317965	318165	SPNHU17_RS01685	Yes	318101	318137								
CDS	Not Complement	319268	319468	folE	Yes	319293	319304	319324	319388						
CDS	Not Complement	319865	320065	folB	Yes	319928	319975	320055							
CDS	Complement	321239	321439	SPNHU17_RS01700	Yes	321297	321313	321336	321344	321433					
CDS	Not Complement	321395	321595	rplM	Yes	321469	321510	321592							
CDS	Not Complement	321861	322061	rpsI	Yes	321909	321969	322046							
CDS	Complement	323837	324037	SPNHU17_RS01715	Yes	324025									
CDS	Complement	324525	324725	SPNHU17_RS01720	Yes	324582	324587	324713							
CDS	Complement	325082	325282	SPNHU17_RS01725	Yes	325151	325157	325250							
CDS	Complement	325969	326169	SPNHU17_RS01730	Yes	326033	326051								
CDS	Not Complement	325972	326172	SPNHU17_RS01735											
CDS	Complement	328339	328539	SPNHU17_RS01740	Yes	328364	328506								
CDS	Complement	329923	330123	SPNHU17_RS01745	Yes	329981	330021	330059	330065						
CDS	Not Complement	330128	330328	SPNHU17_RS01750	Yes	330133	330138	330249	330296						
CDS	Not Complement	330705	330905	SPNHU17_RS01755	Yes	330718	330726	330847	330899						
CDS	Complement	333816	334016	SPNHU17_RS01760	Yes	333916									
CDS	Not Complement	333839	334039	SPNHU17_RS01765											
CDS	Not Complement	337423	337623	tnpA	Yes	337618									
CDS	Not Complement	337981	338181	SPNHU17_RS10845	Yes	337996	338016	338050	338090						
CDS	Complement	339016	339216	SPNHU17_RS01775											
CDS	Complement	340027	340227	SPNHU17_RS01780											
CDS	Complement	340699	340899	SPNHU17_RS01785	Yes	340810									
CDS	Complement	341533	341733	SPNHU17_RS01790	Yes	341665	341701								
CDS	Not Complement	341604	341804	SPNHU17_RS01795	Yes	341794	341801								
CDS	Not Complement	342050	342250	SPNHU17_RS01800	Yes	342247									
CDS	Not Complement	343251	343451	SPNHU17_RS01805	Yes	343449									
CDS	Not Complement	343757	343957	SPNHU17_RS01810	Yes	343885	343902								
CDS	Not Complement	344523	344723	SPNHU17_RS01815	Yes	344568									
CDS	Not Complement	345341	345541	SPNHU17_RS01820	Yes	345461	345466								
CDS	Not Complement	345656	345856	SPNHU17_RS01825	Yes	345722	345790	345796	345809						
CDS	Not Complement	347617	347817	SPNHU17_RS01830	Yes	347620	347668	347705	347760						
CDS	Complement	349263	349463	SPNHU17_RS01835	Yes	349340	349346								
CDS	Complement	349516	349716	SPNHU17_RS01840	Yes	349602	349655								
CDS	Complement	350069	350269	SPNHU17_RS01845	Yes	350242	350261								
