Type	Complement Status	Start	End	Gene/Locus Tag	Strand Present?	Position(s)	Position(s) 2	Position(s) 3	Position(s) 4	Position(s) 5	Position(s) 6	Position(s) 7	Position(s) 8	Position(s) 9	Position(s) 10	
CDS	Not Complement	118400	118600	SPNHU17_RS00645	Yes	118509	118513									
CDS	Not Complement	119095	119295	SPNHU17_RS00650	Yes	119115										
CDS	Not Complement	120342	120542	rpsD	Yes	120492	120506									
CDS	Not Complement	121992	122192	SPNHU17_RS00660	Yes	122010	122094	122110								
CDS	Not Complement	122206	122406	SPNHU17_RS00665												
CDS	Not Complement	122746	122946	SPNHU17_RS00670	Yes	122831										
CDS	Not Complement	123689	123889	SPNHU17_RS00675												
CDS	Not Complement	124870	125070	SPNHU17_RS00680	Yes	124989	125009									
CDS	Not Complement	126617	126817	SPNHU17_RS00685	Yes	126667	126700	126719	126745							
CDS	Not Complement	127725	127925	SPNHU17_RS00690	Yes	127832	127866	127876	127910							
CDS	Complement	129987	130187	SPNHU17_RS00695	Yes	130130	130178									
CDS	Complement	130961	131161	SPNHU17_RS00700	Yes	130979	131145									
CDS	Complement	131547	131747	SPNHU17_RS00705												
CDS	Complement	131860	132060	SPNHU17_RS00710	Yes	131876	131907									
CDS	Complement	133165	133365	SPNHU17_RS00715	Yes	133216	133239	133247								
CDS	Not Complement	133023	133223	SPNHU17_RS00720												
CDS	Not Complement	134222	134422	SPNHU17_RS00725	Yes	134225	134243	134253	134420							
CDS	Complement	137165	137365	SPNHU17_RS00730	Yes	137171	137204	137258								
CDS	Complement	138059	138259	sdaAA	Yes	138108	138115	138172	138184							
CDS	Complement	138739	138939	sdaAB	Yes	138746	138820	138906								
CDS	Not Complement	138781	138981	SPNHU17_RS00745	Yes	138976										
CDS	Complement	140483	140683	SPNHU17_RS00750	Yes	140498	140671									
CDS	Not Complement	140606	140806	SPNHU17_RS00755	Yes	140753										
CDS	Not Complement	142094	142294	SPNHU17_RS00760	Yes	142232										
CDS	Not Complement	142397	142597	SPNHU17_RS00765	Yes	142530	142578									
CDS	Not Complement	144502	144702	SPNHU17_RS00770	Yes	144552	144573									
CDS	Not Complement	145350	145550	SPNHU17_RS00775	Yes	145385	145437	145454	145471							
CDS	Not Complement	146173	146373	SPNHU17_RS00780												
CDS	Not Complement	147398	147598	argH												
CDS	Complement	149598	149798	SPNHU17_RS00790	Yes	149605	149735									
CDS	Not Complement	150156	150356	SPNHU17_RS00795												
CDS	Not Complement	150535	150735	SPNHU17_RS00800												
CDS	Not Complement	151552	151752	SPNHU17_RS00805												
CDS	Not Complement	152925	153125	SPNHU17_RS00810												
CDS	Not Complement	154374	154574	SPNHU17_RS00815	Yes	154419										
CDS	Not Complement	154755	154955	SPNHU17_RS10830												
CDS	Not Complement	154956	155156	SPNHU17_RS00820												
CDS	Not Complement	155914	156114	SPNHU17_RS00825	Yes	155953	155989	156093								
CDS	Not Complement	156264	156464	SPNHU17_RS00830												
CDS	Not Complement	157478	157678	SPNHU17_RS10835	Yes	157586										
CDS	Not Complement	158128	158328	SPNHU17_RS00835												
CDS	Not Complement	158919	159119	SPNHU17_RS00840												
CDS	Not Complement	160813	161013	SPNHU17_RS00845												
CDS	Not Complement	161402	161602	mnmA												
CDS	Not Complement	162664	162864	SPNHU17_RS00855	Yes	162737										
CDS	Not Complement	163129	163329	mnmG	Yes	163140										
CDS	Complement	167802	168002	SPNHU17_RS00865	Yes	167821	167836	167842	167905	167986						
CDS	Complement	168037	168237	SPNHU17_RS00870	Yes	168049	168100	168146	168208							
CDS	Not Complement	168117	168317	SPNHU17_RS00875												
CDS	Complement	169007	169207	cibB	Yes	169149	169203									
CDS	Complement	169194	169394	cibA	Yes	169214										
CDS	Not Complement	169172	169372	tsaB												
CDS	Not Complement	169852	170052	rimI												
CDS	Not Complement	170279	170479	tsaD	Yes	170348										
CDS	Complement	172835	173035	SPNHU17_RS00905	Yes	172847	172871	172898	172997							
CDS	Complement	173862	174062	SPNHU17_RS10840	Yes	173865	173885									
CDS	Not Complement	173905	174105	SPNHU17_RS00920	Yes	174064										
CDS	Not Complement	175103	175303	SPNHU17_RS00925	Yes	175240										
CDS	Not Complement	176066	176266	SPNHU17_RS00930	Yes	176170	176211									
CDS	Not Complement	178146	178346	SPNHU17_RS00935	Yes	178202	178229	178331								
CDS	Not Complement	178383	178583	SPNHU17_RS00940												
CDS	Not Complement	179144	179344	SPNHU17_RS00945												
CDS	Not Complement	180711	180911	SPNHU17_RS00950	Yes	180833										
CDS	Not Complement	181865	182065	SPNHU17_RS00955	Yes	181927	181976									
CDS	Not Complement	182130	182330	SPNHU17_RS00960	Yes	182208	182285	182309								
CDS	Not Complement	182867	183067	SPNHU17_RS00965												
CDS	Not Complement	184826	185026	SPNHU17_RS00970	Yes	184932	184953									
CDS	Not Complement	185472	185672	SPNHU17_RS00975	Yes	185521										
CDS	Not Complement	185899	186099	SPNHU17_RS00980	Yes	185903	185924	186059								
CDS	Not Complement	186883	187083	SPNHU17_RS00985	Yes	186933	186969									
CDS	Not Complement	187837	188037	SPNHU17_RS00990												
CDS	Not Complement	189203	189403	SPNHU17_RS00995	Yes	189223										
CDS	Not Complement	190266	190466	SPNHU17_RS01000												
CDS	Complement	191757	191957	SPNHU17_RS01005	Yes	191781	191868	191927								
CDS	Not Complement	191692	191892	SPNHU17_RS01010												
CDS	Not Complement	192308	192508	SPNHU17_RS01015	Yes	192443										
CDS	Not Complement	193966	194166	SPNHU17_RS01020												
CDS	Not Complement	195304	195504	SPNHU17_RS01025	Yes	195319	195380	195392								
CDS	Not Complement	195915	196115	nrdI	Yes	195935										
CDS	Complement	198237	198437	SPNHU17_RS01035	Yes	198246	198251	198267								
CDS	Complement	199848	200048	SPNHU17_RS01040	Yes	199873										
CDS	Complement	200616	200816	SPNHU17_RS01045	Yes	200628	200675	200693	200750							
CDS	Complement	201053	201253	SPNHU17_RS01050	Yes	201060	201074	201232								
CDS	Not Complement	201209	201409	mutL	Yes	201336	201345	201377								
CDS	Complement	204150	204350	ribE	Yes	204159	204193	204201	204237	204276						
CDS	Complement	205356	205556	SPNHU17_RS01065	Yes	205373	205414	205471								
CDS	Complement	206011	206211	ribE	Yes	206031	206048	206074	206167							
CDS	Complement	207096	207296	ribD	Yes	207203	207243	207274	207291							
regulatory	Complement	207344	207544	riboswitch												
CDS	Not Complement	207301	207501	ruvA												
CDS	Not Complement	207904	208104	SPNHU17_RS01085												
CDS	Not Complement	208464	208664	SPNHU17_RS01090	Yes	208605										
CDS	Complement	210509	210709	SPNHU17_RS01095	Yes	210579	210698									
CDS	Complement	211447	211647	SPNHU17_RS01100	Yes	211566										
CDS	Complement	212403	212603	SPNHU17_RS01105	Yes	212418	212427	212437	212473	212587						
CDS	Complement	213730	213930	SPNHU17_RS01110	Yes	213745	213822	213832								
CDS	Complement	215329	215529	SPNHU17_RS01115	Yes	215335										
CDS	Complement	216203	216403	SPNHU17_RS01120	Yes	216283										
CDS	Not Complement	216156	216356	SPNHU17_RS01125												
CDS	Not Complement	216401	216601	SPNHU17_RS01130	Yes	216440										
CDS	Not Complement	217399	217599	SPNHU17_RS01135	Yes	217411										
CDS	Not Complement	217848	218048	SPNHU17_RS01140												
CDS	Not Complement	218050	218250	SPNHU17_RS01145												
CDS	Not Complement	218262	218462	SPNHU17_RS01150												
CDS	Not Complement	218596	218796	SPNHU17_RS01155												
CDS	Not Complement	219012	219212	SPNHU17_RS01160												
CDS	Not Complement	219931	220131	SPNHU17_RS01165												
CDS	Not Complement	221763	221963	SPNHU17_RS01170												
CDS	Not Complement	222014	222214	SPNHU17_RS01175	Yes	222069										
CDS	Not Complement	222615	222815	SPNHU17_RS01180	Yes	222798										
CDS	Not Complement	224331	224531	SPNHU17_RS01185												
CDS	Not Complement	225239	225439	uvrA												
CDS	Not Complement	228063	228263	SPNHU17_RS01195												
CDS	Not Complement	229256	229456	spx												
CDS	Not Complement	229720	229920	SPNHU17_RS01205	Yes	229900										
CDS	Not Complement	230376	230576	SPNHU17_RS01210	Yes	230455										
CDS	Not Complement	230646	230846	ruvX												
CDS	Not Complement	231081	231281	SPNHU17_RS01220												
CDS	Not Complement	231799	231999	SPNHU17_RS01225												
CDS	Not Complement	233133	233333	SPNHU17_RS01230	Yes	233147	233302									
CDS	Not Complement	233734	233934	cls	Yes	233819										
CDS	Not Complement	235344	235544	SPNHU17_RS01240	Yes	235359	235505									
CDS	Not Complement	235524	235724	SPNHU17_RS01245	Yes	235607										
CDS	Not Complement	237182	237382	nrdD	Yes	237326										
CDS	Not Complement	239401	239601	SPNHU17_RS01255												
CDS	Not Complement	239585	239785	SPNHU17_RS01260	Yes	239766										
CDS	Not Complement	240084	240284	nrdG												
CDS	Not Complement	240671	240871	SPNHU17_RS01270	Yes	240755										
CDS	Not Complement	241555	241755	rpsJ	Yes	241708										
CDS	Not Complement	242080	242280	rplC	Yes	242096	242173	242181	242277							
CDS	Not Complement	242731	242931	rplD												
CDS	Not Complement	243354	243554	SPNHU17_RS01290	Yes	243427										
CDS	Not Complement	243668	243868	rplB	Yes	243691										
CDS	Not Complement	244605	244805	rpsS												
CDS	Not Complement	244898	245098	rplV	Yes	244936										
CDS	Not Complement	245255	245455	rpsC	Yes	245364										
CDS	Not Complement	245912	246112	rplP												
CDS	Not Complement	246335	246535	rpmC												
CDS	Not Complement	246566	246766	rpsQ	Yes	246584	246645	246764								
CDS	Not Complement	246852	247052	rplN	Yes	246971	246987									
CDS	Not Complement	247298	247498	rplX	Yes	247384										
CDS	Not Complement	247627	247827	rplE												
CDS	Not Complement	248187	248387	rpsN												
CDS	Not Complement	248741	248941	rpsH	Yes	248743										
CDS	Not Complement	249331	249531	rplF												
CDS	Not Complement	249951	250151	rplR	Yes	250104										
CDS	Not Complement	250325	250525	rpsE	Yes	250341	250416									
CDS	Not Complement	250833	251033	rpmD	Yes	251000	251006									
CDS	Not Complement	251160	251360	rplO	Yes	251315										
CDS	Not Complement	251613	251813	secY												
CDS	Not Complement	253056	253256	SPNHU17_RS01385	Yes	253087										
CDS	Not Complement	253811	254011	infA	Yes	253904										
CDS	Not Complement	254054	254254	rpmJ	Yes	254120										
CDS	Not Complement	254188	254388	rpsM												
CDS	Not Complement	254571	254771	rpsK												
CDS	Not Complement	254997	255197	SPNHU17_RS01410	Yes	255176										
CDS	Not Complement	255944	256144	rplQ												
CDS	Not Complement	256595	256795	SPNHU17_RS01420	Yes	256607	256673	256713	256766							
CDS	Not Complement	256871	257071	SPNHU17_RS01425	Yes	257040										
CDS	Not Complement	258475	258675	SPNHU17_RS01430	Yes	258528	258566	258589								
CDS	Complement	261122	261322	SPNHU17_RS01435												
CDS	Complement	262203	262403	SPNHU17_RS01440	Yes	262258	262333	262341								
CDS	Complement	263337	263537	SPNHU17_RS01445	Yes	263461	263481	263508								
CDS	Complement	263751	263951	SPNHU17_RS01450	Yes	263779	263924									
CDS	Complement	264029	264229	SPNHU17_RS01455	Yes	264079	264164	264170	264183							
CDS	Complement	264305	264505	SPNHU17_RS01460	Yes	264318	264341	264440								
CDS	Complement	264692	264892	SPNHU17_RS01465	Yes	264737	264743	264817								
CDS	Complement	265801	266001	SPNHU17_RS01470												
CDS	Not Complement	265723	265923	SPNHU17_RS01475												
CDS	Not Complement	266482	266682	SPNHU17_RS01480	Yes	266494	266611	266665								
CDS	Not Complement	267657	267857	SPNHU17_RS01485	Yes	267694	267814									
CDS	Not Complement	268023	268223	SPNHU17_RS01490												
CDS	Not Complement	268348	268548	SPNHU17_RS01495												
CDS	Not Complement	269797	269997	SPNHU17_RS01500	Yes	269911	269933	269957	269978							
CDS	Not Complement	272254	272454	SPNHU17_RS01505	Yes	272290	272386									
CDS	Not Complement	272940	273140	SPNHU17_RS01510	Yes	273044	273082									
CDS	Not Complement	274483	274683	leuS	Yes	274615	274630									
CDS	Not Complement	277123	277323	SPNHU17_RS01520												
CDS	Not Complement	278021	278221	SPNHU17_RS01525												
CDS	Not Complement	278728	278928	SPNHU17_RS01530												
CDS	Complement	280251	280451	SPNHU17_RS01535	Yes	280271										
CDS	Not Complement	280212	280412	ruvB												
CDS	Not Complement	281164	281364	SPNHU17_RS01545	Yes	281235										
CDS	Not Complement	281967	282167	SPNHU17_RS01550	Yes	282012										
CDS	Not Complement	282734	282934	SPNHU17_RS01555	Yes	282796										
CDS	Not Complement	283559	283759	rseP	Yes	283572	283686	283708								
CDS	Not Complement	284831	285031	SPNHU17_RS01565												
CDS	Not Complement	286783	286983	bglA	Yes	286943										
CDS	Not Complement	288354	288554	glmS												
CDS	Not Complement	290433	290633	SPNHU17_RS01580	Yes	290574	290597									
CDS	Complement	295645	295845	spuA	Yes	295670	295713	295753								
CDS	Not Complement	295862	296062	rpsL												
CDS	Not Complement	296295	296495	rpsG												
CDS	Not Complement	297190	297390	fusA												
CDS	Not Complement	299375	299575	SPNHU17_RS01605												
CDS	Not Complement	303868	304068	SPNHU17_RS01610	Yes	304029										
CDS	Not Complement	304124	304324	SPNHU17_RS01615	Yes	304175										
CDS	Not Complement	304423	304623	SPNHU17_RS01620	Yes	304489										
CDS	Not Complement	304597	304797	SPNHU17_RS01625	Yes	304756										
CDS	Complement	307072	307272	SPNHU17_RS01630	Yes	307083	307169									
CDS	Not Complement	306987	307187	SPNHU17_RS01635												
CDS	Not Complement	307821	308021	pepC												
CDS	Complement	310322	310522	SPNHU17_RS01645	Yes	310331	310340	310410								
CDS	Complement	311149	311349	SPNHU17_RS01650	Yes	311164	311278									
CDS	Complement	312166	312366	SPNHU17_RS01655	Yes	312199	312241									
CDS	Complement	313418	313618	adhP	Yes	313546										
CDS	Complement	314570	314770	SPNHU17_RS01665	Yes	314581	314593	314671								
CDS	Not Complement	314560	314760	SPNHU17_RS01670												
CDS	Not Complement	316031	316231	SPNHU17_RS01675	Yes	316067	316200									
CDS	Not Complement	316983	317183	folP	Yes	317078	317116	317156								
CDS	Not Complement	317965	318165	SPNHU17_RS01685	Yes	317995										
CDS	Not Complement	319268	319468	folE	Yes	319353	319424									
CDS	Not Complement	319865	320065	folB	Yes	320049										
CDS	Complement	321239	321439	SPNHU17_RS01700	Yes	321255	321260	321409								
CDS	Not Complement	321395	321595	rplM	Yes	321537										
CDS	Not Complement	321861	322061	rpsI	Yes	322028										
CDS	Complement	323837	324037	SPNHU17_RS01715	Yes	323851	323875	324013								
CDS	Complement	324525	324725	SPNHU17_RS01720	Yes	324541	324627	324696								
CDS	Complement	325082	325282	SPNHU17_RS01725	Yes	325088	325135	325141	325202	325262						
CDS	Complement	325969	326169	SPNHU17_RS01730	Yes	326028	326062	326107	326122							
CDS	Not Complement	325972	326172	SPNHU17_RS01735												
CDS	Complement	328339	328539	SPNHU17_RS01740	Yes	328356	328380	328435	328469							
CDS	Complement	329923	330123	SPNHU17_RS01745	Yes	329968	330007									
CDS	Not Complement	330128	330328	SPNHU17_RS01750												
CDS	Not Complement	330705	330905	SPNHU17_RS01755	Yes	330788										
CDS	Complement	333816	334016	SPNHU17_RS01760	Yes	333830	333836	333863								
CDS	Not Complement	333839	334039	SPNHU17_RS01765												
CDS	Not Complement	337423	337623	tnpA	Yes	337424	337444	337471								
CDS	Not Complement	337981	338181	SPNHU17_RS10845	Yes	338035	338132	338172								
CDS	Complement	339016	339216	SPNHU17_RS01775	Yes	339064										
CDS	Complement	340027	340227	SPNHU17_RS01780	Yes	340042	340079	340114	340217							
CDS	Complement	340699	340899	SPNHU17_RS01785	Yes	340712	340734	340842								
CDS	Complement	341533	341733	SPNHU17_RS01790	Yes	341548	341642									
CDS	Not Complement	341604	341804	SPNHU17_RS01795												
CDS	Not Complement	342050	342250	SPNHU17_RS01800	Yes	342192	342223									
CDS	Not Complement	343251	343451	SPNHU17_RS01805	Yes	343413										
CDS	Not Complement	343757	343957	SPNHU17_RS01810												
CDS	Not Complement	344523	344723	SPNHU17_RS01815												
CDS	Not Complement	345341	345541	SPNHU17_RS01820												
CDS	Not Complement	345656	345856	SPNHU17_RS01825	Yes	345731	345843									
CDS	Not Complement	347617	347817	SPNHU17_RS01830												
CDS	Complement	349263	349463	SPNHU17_RS01835	Yes	349411										
CDS	Complement	349516	349716	SPNHU17_RS01840	Yes	349523	349548	349633								
CDS	Complement	350069	350269	SPNHU17_RS01845	Yes	350183	350268									
CDS	Complement	350279	350479	SPNHU17_RS01850	Yes	350292	350460									
CDS	Not Complement	350245	350445	rsmH												
CDS	Not Complement	351207	351407	ftsL	Yes	351263										
CDS	Not Complement	351528	351728	pbp2X												
CDS	Not Complement	353782	353982	mraY												
CDS	Not Complement	355102	355302	SPNHU17_RS01875												
CDS	Complement	358185	358385	SPNHU17_RS01880	Yes	358198	358205									
CDS	Complement	359764	359964	SPNHU17_RS01885												
CDS	Not Complement	359717	359917	SPNHU17_RS01890												
CDS	Not Complement	361484	361684	SPNHU17_RS01895	Yes	361506	361630									
CDS	Complement	362022	362222	SPNHU17_RS01900												
CDS	Not Complement	362650	362850	cps4A	Yes	362721										
CDS	Not Complement	364097	364297	cps4B												
CDS	Not Complement	364837	365037	SPNHU17_RS01915	Yes	364949										
CDS	Not Complement	365539	365739	SPNHU17_RS01920	Yes	365589										
CDS	Not Complement	366243	366443	SPNHU17_RS01925												
CDS	Not Complement	367610	367810	SPNHU17_RS01930	Yes	367690										
CDS	Not Complement	368350	368550	SPNHU17_RS01935	Yes	368452	368507									
CDS	Not Complement	369176	369376	SPNHU17_RS01940												
CDS	Not Complement	370055	370255	SPNHU17_RS01945	Yes	370187										
CDS	Not Complement	371417	371617	SPNHU17_RS01950	Yes	371511	371532									
CDS	Not Complement	372906	373106	wecB	Yes	373077										
CDS	Not Complement	374157	374357	rfbA	Yes	374353										
CDS	Not Complement	375027	375227	SPNHU17_RS01965	Yes	375120										
CDS	Not Complement	375632	375832	rfbB	Yes	375636	375756									
CDS	Not Complement	376747	376947	rfbD												
CDS	Not Complement	377695	377895	SPNHU17_RS01980	Yes	377815										
CDS	Not Complement	378303	378503	SPNHU17_RS10850												
CDS	Complement	380212	380412	SPNHU17_RS01995	Yes	380225	380269	380290	380324	380373						
CDS	Not Complement	380374	380574	SPNHU17_RS02000	Yes	380470	380498	380529								
CDS	Not Complement	382657	382857	SPNHU17_RS02005	Yes	382709	382720	382788								
CDS	Complement	390486	390686	pbp1a	Yes	390563	390662									
CDS	Complement	391079	391279	recU	Yes	391197										
CDS	Not Complement	390945	391145	SPNHU17_RS02020												
CDS	Not Complement	391542	391742	gpsB	Yes	391662										
ncRNA	Not Complement	391904	392104	RNase_P_RNA												
CDS	Not Complement	392369	392569	SPNHU17_RS02035	Yes	392516										
CDS	Not Complement	393539	393739	mapZ												
CDS	Not Complement	395009	395209	gndA	Yes	395155	395160									
CDS	Not Complement	396445	396645	SPNHU17_RS02050	Yes	396483										
CDS	Not Complement	397233	397433	cbpC												
CDS	Complement	399802	400002	SPNHU17_RS02060	Yes	399809	399980									
CDS	Complement	400720	400920	SPNHU17_RS10855	Yes	400785	400813									
CDS	Not Complement	401132	401332	SPNHU17_RS10860	Yes	401139	401179	401237	401264	401280						
CDS	Not Complement	401339	401539	SPNHU17_RS10865	Yes	401397	401500	401526	401530							
CDS	Not Complement	401583	401783	mvk	Yes	401764										
CDS	Not Complement	402443	402643	mvaD												
CDS	Not Complement	403383	403583	SPNHU17_RS02085	Yes	403385	403533									
CDS	Not Complement	404374	404574	fni												
